"DateTime", "Cost"
"2014-08-01 01:00:00",21.13
"2014-08-01 02:00:00",16.19
"2014-08-01 03:00:00",19.84
"2014-08-01 04:00:00",14.15
"2014-08-01 05:00:00",16.47
"2014-08-01 06:00:00",22.36
"2014-08-01 07:00:00",26.15
"2014-08-01 08:00:00",25.28
"2014-08-01 09:00:00",26.84
"2014-08-01 10:00:00",26.85
"2014-08-01 11:00:00",29.45
"2014-08-01 12:00:00",31.19
"2014-08-01 13:00:00",31.41
"2014-08-01 14:00:00",35.04
"2014-08-01 15:00:00",39.69
"2014-08-01 16:00:00",36.77
"2014-08-01 17:00:00",37.86
"2014-08-01 18:00:00",35.93
"2014-08-01 19:00:00",33.28
"2014-08-01 20:00:00",29.92
"2014-08-01 21:00:00",28.82
"2014-08-01 22:00:00",29.74
"2014-08-01 23:00:00",27.25
"2014-08-01 00:00:00",24.73