"Date","Cloud Cover Average"
"2014-01-15 05:00:00","0"
"2014-01-15 06:00:00","0"
"2014-01-15 07:00:00","0"
"2014-01-15 08:00:00","0"
"2014-01-15 09:00:00","0"
"2014-01-15 10:00:00","0"
"2014-01-15 11:00:00","0"
"2014-01-15 12:00:00","0"
"2014-01-15 13:00:00","0"
"2014-01-15 14:00:00","0"
"2014-01-15 15:00:00","0"
"2014-01-15 16:00:00","0"
"2014-01-15 17:00:00","0"
"2014-01-15 18:00:00","0"
"2014-01-15 19:00:00","0"
"2014-01-15 20:00:00","0"
"2014-01-15 21:00:00","0"
"2014-01-15 22:00:00","0"
"2014-01-15 23:00:00","0"
"2014-01-16 00:00:00","0"
"2014-01-16 01:00:00","0"
"2014-01-16 02:00:00","0"
"2014-01-16 03:00:00","0"
"2014-01-16 04:00:00","0"
"2014-02-15 05:00:00","0"
"2014-02-15 06:00:00","0"
"2014-02-15 07:00:00","0"
"2014-02-15 08:00:00","0"
"2014-02-15 09:00:00","0"
"2014-02-15 10:00:00","0"
"2014-02-15 11:00:00","0"
"2014-02-15 12:00:00","0"
"2014-02-15 13:00:00","0"
"2014-02-15 14:00:00","0"
"2014-02-15 15:00:00","0"
"2014-02-15 16:00:00","0"
"2014-02-15 17:00:00","0"
"2014-02-15 18:00:00","0"
"2014-02-15 19:00:00","0"
"2014-02-15 20:00:00","0"
"2014-02-15 21:00:00","0"
"2014-02-15 22:00:00","0"
"2014-02-15 23:00:00","0"
"2014-02-16 00:00:00","0"
"2014-02-16 01:00:00","0"
"2014-02-16 02:00:00","0"
"2014-02-16 03:00:00","0"
"2014-02-16 04:00:00","0"
"2014-03-15 04:00:00","0"
"2014-03-15 05:00:00","0"
"2014-03-15 06:00:00","0"
"2014-03-15 07:00:00","0"
"2014-03-15 08:00:00","0"
"2014-03-15 09:00:00","0"
"2014-03-15 10:00:00","0"
"2014-03-15 11:00:00","0"
"2014-03-15 12:00:00","0"
"2014-03-15 13:00:00","0"
"2014-03-15 14:00:00","0"
"2014-03-15 15:00:00","0"
"2014-03-15 16:00:00","0"
"2014-03-15 17:00:00","0"
"2014-03-15 18:00:00","0"
"2014-03-15 19:00:00","0"
"2014-03-15 20:00:00","0"
"2014-03-15 21:00:00","0"
"2014-03-15 22:00:00","0"
"2014-03-15 23:00:00","0"
"2014-03-16 00:00:00","0"
"2014-03-16 01:00:00","0"
"2014-03-16 02:00:00","0"
"2014-03-16 03:00:00","0"
"2014-04-15 04:00:00","0"
"2014-04-15 05:00:00","0"
"2014-04-15 06:00:00","0"
"2014-04-15 07:00:00","0"
"2014-04-15 08:00:00","0"
"2014-04-15 09:00:00","0"
"2014-04-15 10:00:00","0"
"2014-04-15 11:00:00","0"
"2014-04-15 12:00:00","0"
"2014-04-15 13:00:00","0"
"2014-04-15 14:00:00","0"
"2014-04-15 15:00:00","0"
"2014-04-15 16:00:00","0"
"2014-04-15 17:00:00","0"
"2014-04-15 18:00:00","0"
"2014-04-15 19:00:00","0"
"2014-04-15 20:00:00","0"
"2014-04-15 21:00:00","0"
"2014-04-15 22:00:00","0"
"2014-04-15 23:00:00","0"
"2014-04-16 00:00:00","0"
"2014-04-16 01:00:00","0"
"2014-04-16 02:00:00","0"
"2014-04-16 03:00:00","0"
"2014-05-15 04:00:00","0.11"
"2014-05-15 05:00:00","0.31"
"2014-05-15 06:00:00","0"
"2014-05-15 07:00:00","0"
"2014-05-15 08:00:00","0"
"2014-05-15 09:00:00","0"
"2014-05-15 10:00:00","0"
"2014-05-15 11:00:00","0"
"2014-05-15 12:00:00","0"
"2014-05-15 13:00:00","0"
"2014-05-15 14:00:00","0"
"2014-05-15 15:00:00","0"
"2014-05-15 16:00:00","0.31"
"2014-05-15 17:00:00","0"
"2014-05-15 18:00:00","0"
"2014-05-15 19:00:00","0"
"2014-05-15 20:00:00","0"
"2014-05-15 21:00:00","0"
"2014-05-15 22:00:00","0"
"2014-05-15 23:00:00","0"
"2014-05-16 00:00:00","0"
"2014-05-16 01:00:00","0"
"2014-05-16 02:00:00","0"
"2014-05-16 03:00:00","0"
"2014-06-15 04:00:00","0"
"2014-06-15 05:00:00","0"
"2014-06-15 06:00:00","0"
"2014-06-15 07:00:00","0"
"2014-06-15 08:00:00","0.08"
"2014-06-15 09:00:00","0.08"
"2014-06-15 10:00:00","0.08"
"2014-06-15 11:00:00","0"
"2014-06-15 12:00:00","0.05"
"2014-06-15 13:00:00","0"
"2014-06-15 14:00:00","0"
"2014-06-15 15:00:00","0.04"
"2014-06-15 16:00:00","0.04"
"2014-06-15 17:00:00","0.16"
"2014-06-15 18:00:00","0.21"
"2014-06-15 19:00:00","0.31"
"2014-06-15 20:00:00","0.22"
"2014-06-15 21:00:00","0.23"
"2014-06-15 22:00:00","0.19"
"2014-06-15 23:00:00","0.08"
"2014-06-16 00:00:00","0.08"
"2014-06-16 01:00:00","0.1"
"2014-06-16 02:00:00","0.07"
"2014-06-16 03:00:00","0"
"2014-07-15 04:00:00","0"
"2014-07-15 05:00:00","0"
"2014-07-15 06:00:00","0"
"2014-07-15 07:00:00","0"
"2014-07-15 08:00:00","0"
"2014-07-15 09:00:00","0"
"2014-07-15 10:00:00","0.31"
"2014-07-15 11:00:00","0.31"
"2014-07-15 12:00:00","0"
"2014-07-15 13:00:00","0"
"2014-07-15 14:00:00","0"
"2014-07-15 15:00:00","0"
"2014-07-15 16:00:00","0.31"
"2014-07-15 17:00:00","0"
"2014-07-15 18:00:00","0"
"2014-07-15 19:00:00","0.31"
"2014-07-15 20:00:00","0.31"
"2014-07-15 21:00:00","0"
"2014-07-15 22:00:00","0.17"
"2014-07-15 23:00:00","0.1"
"2014-07-16 00:00:00","0.24"
"2014-07-16 01:00:00","0"
"2014-07-16 02:00:00","0.05"
"2014-07-16 03:00:00","0.13"
"2014-08-15 04:00:00","0.2"
"2014-08-15 05:00:00","0"
"2014-08-15 06:00:00","0"
"2014-08-15 07:00:00","0.31"
"2014-08-15 08:00:00","0.2"
"2014-08-15 09:00:00","0.21"
"2014-08-15 10:00:00","0.1"
"2014-08-15 11:00:00","0"
"2014-08-15 12:00:00","0.1"
"2014-08-15 13:00:00","0"
"2014-08-15 14:00:00","0"
"2014-08-15 15:00:00","0.1"
"2014-08-15 16:00:00","0.1"
"2014-08-15 17:00:00","0.2"
"2014-08-15 18:00:00","0.31"
"2014-08-15 19:00:00","0.24"
"2014-08-15 20:00:00","0.13"
"2014-08-15 21:00:00","0.24"
"2014-08-15 22:00:00","0.16"
"2014-08-15 23:00:00","0.05"
"2014-08-16 00:00:00","0"
"2014-08-16 01:00:00","0.05"
"2014-08-16 02:00:00","0"
"2014-08-16 03:00:00","0"
"2014-09-15 04:00:00","0.13"
"2014-09-15 05:00:00","0.12"
"2014-09-15 06:00:00","0"
"2014-09-15 07:00:00","0"
"2014-09-15 08:00:00","0.31"
"2014-09-15 09:00:00","0"
"2014-09-15 10:00:00","0"
"2014-09-15 11:00:00","0.31"
"2014-09-15 12:00:00","0.31"
"2014-09-15 13:00:00","0"
"2014-09-15 14:00:00","0"
"2014-09-15 15:00:00","0.31"
"2014-09-15 16:00:00","0.13"
"2014-09-15 17:00:00","0.22"
"2014-09-15 18:00:00","0.31"
"2014-09-15 19:00:00","0.18"
"2014-09-15 20:00:00","0"
"2014-09-15 21:00:00","0.22"
"2014-09-15 22:00:00","0.1"
"2014-09-15 23:00:00","0.14"
"2014-09-16 00:00:00","0.12"
"2014-09-16 01:00:00","0.07"
"2014-09-16 02:00:00","0"
"2014-09-16 03:00:00","0.18"
"2014-10-15 04:00:00","0.09"
"2014-10-15 05:00:00","0.09"
"2014-10-15 06:00:00","0.31"
"2014-10-15 07:00:00","0"
"2014-10-15 08:00:00","0.31"
"2014-10-15 09:00:00","0.31"
"2014-10-15 10:00:00","0.31"
"2014-10-15 11:00:00","0.31"
"2014-10-15 12:00:00","0.2"
"2014-10-15 13:00:00","0.17"
"2014-10-15 14:00:00","0.31"
"2014-10-15 15:00:00","0.31"
"2014-10-15 16:00:00","0.31"
"2014-10-15 17:00:00","0.31"
"2014-10-15 18:00:00","0"
"2014-10-15 19:00:00","0.31"
"2014-10-15 20:00:00","0"
"2014-10-15 21:00:00","0"
"2014-10-15 22:00:00","0"
"2014-10-15 23:00:00","0"
"2014-10-16 00:00:00","0"
"2014-10-16 01:00:00","0"
"2014-10-16 02:00:00","0"
"2014-10-16 03:00:00","0"
"2014-11-15 05:00:00","0"
"2014-11-15 06:00:00","0"
"2014-11-15 07:00:00","0"
"2014-11-15 08:00:00","0"
"2014-11-15 09:00:00","0"
"2014-11-15 10:00:00","0.07"
"2014-11-15 11:00:00","0"
"2014-11-15 12:00:00","0"
"2014-11-15 13:00:00","0"
"2014-11-15 14:00:00","0"
"2014-11-15 15:00:00","0"
"2014-11-15 16:00:00","0"
"2014-11-15 17:00:00","0"
"2014-11-15 18:00:00","0"
"2014-11-15 19:00:00","0"
"2014-11-15 20:00:00","0"
"2014-11-15 21:00:00","0"
"2014-11-15 22:00:00","0"
"2014-11-15 23:00:00","0.14"
"2014-11-16 00:00:00","0.25"
"2014-11-16 01:00:00","0.21"
"2014-11-16 02:00:00","0.19"
"2014-11-16 03:00:00","0.21"
"2014-11-16 04:00:00","0.13"
"2014-12-15 05:00:00","0"
"2014-12-15 06:00:00","0"
"2014-12-15 07:00:00","0"
"2014-12-15 08:00:00","0"
"2014-12-15 09:00:00","0"
"2014-12-15 10:00:00","0"
"2014-12-15 11:00:00","0"
"2014-12-15 12:00:00","0"
"2014-12-15 13:00:00","0"
"2014-12-15 14:00:00","0"
"2014-12-15 15:00:00","0.1"
"2014-12-15 16:00:00","0.06"
"2014-12-15 17:00:00","0"
"2014-12-15 18:00:00","0"
"2014-12-15 19:00:00","0"
"2014-12-15 20:00:00","0"
"2014-12-15 21:00:00","0"
"2014-12-15 22:00:00","0"
"2014-12-15 23:00:00","0.11"
"2014-12-16 00:00:00","0.07"
"2014-12-16 01:00:00","0.17"
"2014-12-16 02:00:00","0.26"
"2014-12-16 03:00:00","0.31"
"2014-12-16 04:00:00","0.11"
